dia,VIX,dia_fwd_25,VIX_fwd_25,VIX_change_pts,VIX_change_pct,PnL_fwd_pct_25,PnL_fwd_pts_25,tipo
2022-12-05,20.75,2023-03-31,18.7,-2.0500000000000007,-9.87951807228916,-421.2,-87.4,DESASTRE
2021-11-23,19.38,2022-02-08,21.44,2.0600000000000023,10.629514963880302,-95.41,-10.925,DESASTRE
2024-04-11,14.91,2024-11-19,16.35,1.4400000000000013,9.65794768611671,-167.91,-33.75,DESASTRE
2021-11-26,28.62,2022-02-18,27.75,-0.870000000000001,-3.0398322851153075,-238.94,-27.0,DESASTRE
2025-01-10,19.54,2025-07-22,16.5,-3.039999999999999,-15.557830092118726,-89.63,-35.45,DESASTRE
2025-01-15,16.12,2025-04-02,21.51,5.390000000000001,33.436724565756826,-46.64,-6.95,DESASTRE
2025-01-10,19.54,2025-05-27,18.96,-0.5799999999999983,-2.9682702149436966,-78.68,-23.25,DESASTRE
2024-12-24,14.27,2025-07-14,17.2,2.9299999999999997,20.532585844428873,-80.74,-31.45,DESASTRE
2022-11-29,21.89,2023-02-15,18.23,-3.66,-16.719963453631795,-498.43,-79.5,DESASTRE
2021-12-20,22.87,2022-03-07,36.45,13.580000000000002,59.379099256668134,-52.84,-20.45,DESASTRE
2022-12-13,22.55,2023-03-06,18.61,-3.9400000000000013,-17.472283813747232,-169.84,-58.425,DESASTRE
2025-01-06,16.04,2025-05-13,18.22,2.1799999999999997,13.591022443890274,-52.25,-6.975,DESASTRE
2022-10-12,33.57,2023-02-03,18.33,-15.240000000000002,-45.397676496872215,-170.56,-63.45,DESASTRE
2023-02-17,20.02,2023-05-26,17.95,-2.0700000000000003,-10.339660339660341,-111.96,-37.9,DESASTRE
2025-01-14,18.71,2025-07-23,15.37,-3.3400000000000016,-17.85141635489044,-121.08,-37.05,DESASTRE
2024-04-03,14.33,2024-09-11,17.69,3.360000000000001,23.447313328681098,-247.16,-80.45,DESASTRE
2023-08-09,15.96,2023-12-04,13.08,-2.880000000000001,-18.04511278195489,-29.06,-9.3,DESASTRE
2024-11-21,16.87,2025-02-11,16.02,-0.8500000000000014,-5.038529934795504,-54.78,-20.325,DESASTRE
2023-09-18,14.0,2024-02-08,12.79,-1.2100000000000009,-8.64285714285715,-90.88,-28.4,DESASTRE
2023-01-19,20.52,2023-04-05,19.08,-1.4400000000000013,-7.0175438596491295,-47.32,-16.75,DESASTRE
2021-12-16,20.57,2022-03-04,31.98,11.41,55.469129800680605,-128.77,-13.65,DESASTRE
2022-12-28,22.14,2023-04-26,18.84,-3.3000000000000007,-14.905149051490518,-470.19,-73.35,DESASTRE
2019-10-09,18.64,2020-03-17,75.91,57.269999999999996,307.2424892703862,-101.63,-15.6,DESASTRE
2023-08-25,15.68,2024-01-03,14.04,-1.6400000000000006,-10.459183673469392,-79.04,-15.65,DESASTRE
2024-11-21,16.87,2025-02-11,16.02,-0.8500000000000014,-5.038529934795504,-60.92,-10.6,DESASTRE
2019-01-10,19.5,2019-07-22,13.53,-5.970000000000001,-30.615384615384617,-28.62,-8.2,DESASTRE
2024-11-20,17.16,2025-06-23,19.83,2.669999999999998,15.55944055944055,-93.0,-31.9,DESASTRE
2022-09-16,26.3,2023-01-18,20.34,-5.960000000000001,-22.661596958174908,-231.17,-83.8,DESASTRE
2021-04-19,17.29,2021-07-06,16.44,-0.8499999999999979,-4.916136495083851,-31.15,-5.0,DESASTRE
2024-11-22,15.24,2025-02-11,16.02,0.7799999999999994,5.118110236220468,-57.76,-21.025,DESASTRE
2022-11-08,25.54,2023-06-13,14.61,-10.93,-42.7956147220047,-450.8,-168.375,DESASTRE
2024-10-17,19.11,2025-01-03,16.13,-2.9800000000000004,-15.59392987964417,-70.04,-9.875,DESASTRE
2024-10-28,19.8,2025-01-10,19.54,-0.26000000000000156,-1.313131313131321,-27.86,-2.8,DESASTRE
2024-04-22,16.94,2024-08-09,20.37,3.4299999999999997,20.247933884297517,-284.64,-39.85,DESASTRE
2022-08-24,22.82,2023-01-03,22.9,0.0799999999999983,0.3505696757230425,-118.18,-12.35,DESASTRE
2021-11-26,28.62,2022-02-18,27.75,-0.870000000000001,-3.0398322851153075,-67.35,-11.45,DESASTRE
2022-11-08,25.54,2023-04-04,19.0,-6.539999999999999,-25.606891151135468,-610.4,-158.4,DESASTRE
2022-12-12,25.0,2023-09-12,14.23,-10.77,-43.08,-82.05,-31.55,DESASTRE
2022-09-20,27.16,2023-01-19,20.52,-6.640000000000001,-24.447717231222388,-249.19,-84.85,DESASTRE
2024-12-10,14.18,2025-04-29,24.17,9.990000000000002,70.45133991537378,-59.62,-6.2,DESASTRE
2023-03-07,19.59,2023-05-19,16.81,-2.780000000000001,-14.190913731495666,-316.09,-13.75,DESASTRE
2023-02-13,20.34,2023-06-27,13.74,-6.6,-32.448377581120944,-61.9,-23.025,DESASTRE
2021-11-30,27.19,2022-02-22,28.81,1.6199999999999974,5.958072820890024,-77.3,-11.75,DESASTRE
2022-11-28,22.21,2023-02-15,18.23,-3.9800000000000004,-17.919855920756415,-242.14,-81.6,DESASTRE
2023-01-11,21.09,2023-03-31,18.7,-2.3900000000000006,-11.332385016595547,-232.88,-38.425,DESASTRE
