variable,n_samples,correlation,corr_pvalue,auc,mean_disastrous,mean_normal,mean_diff,t_statistic,t_pvalue,trend_slope,trend_r2,trend_pvalue,predictive_score
PnLDV_x_BQI,6463,0.10816093176737071,2.8001151055109717e-18,0.4045145636151215,-66.84854957087029,1419.732430899067,-1486.5809804699372,-10.323061355495703,9.551732729651228e-25,-0.03666372153941563,0.7276521649773594,0.06612775030140113,34.340767058189854
theta_k1,6463,0.2230649954817054,1.097826510407243e-73,0.3938444024587086,-0.7360894833720032,-0.6647250040618956,-0.07136447931010759,-15.706234779859352,1.4008333158617983e-53,-0.04231878488359564,0.2637497388587114,0.3761123441362048,33.57567115468993
Death_valley_per_credit,6463,0.054301064468114855,1.2550893723567515e-05,0.4011729577953599,155.34061499190182,194.91248711530042,-39.571872123398606,-13.07254323413126,2.249551040765361e-38,-0.040837302071885045,0.7931301610898457,0.04272950450046771,33.51341523312751
EarScore,6463,0.16345859517430694,6.095616327715426e-40,0.542425887945955,155.42749145939675,150.80819355338494,4.619297906011809,3.3250578908595996,0.0008976426533125667,0.015313344778624597,0.6184615609880519,0.11461395302571342,32.78540898294793
RANK_PRE,6463,-0.013600641137779142,0.2742917319504683,0.5595513559846877,197.19566898685227,221.8713733075435,-24.67570432069124,-6.2332539268156735,5.559680453722804e-10,-0.023526259444171044,0.9053093688230874,0.012736867081779136,31.843167161751758
iv_k2,6463,-0.0923229782110016,1.0334730865040274e-13,0.3613704054415907,0.1681211840680588,0.1500031918762089,0.018117992191849897,15.777421066287063,1.2713878597729925e-52,0.05198683071331459,0.33851551055771867,0.30342943627882796,31.700028234243607
BQI_V2_ABS,6463,0.03266530274114802,0.008633201040665573,0.5624510644281588,59.89084316550657,58.53220331934236,1.358639846164209,9.351049243803365,1.7962111392380087e-20,0.02436572015544525,0.7043583524501487,0.0754672972633224,30.52158518386228
Death_valley_x_delta,6463,-0.12364676669561629,1.9279206822230015e-23,0.43206343934980956,453.0949451851973,409.4750672011025,43.619877984094785,9.254796594830562,5.179034144358317e-20,0.024516568136596445,0.4050589155530059,0.24829176062106204,30.477454582406164
iv_k3,6463,-0.02682566180264648,0.031039917081679594,0.36114975593921145,0.14569901160092807,0.13101374468085106,0.014685266920077017,15.784720102522396,1.1090636141469913e-52,0.055162397714933434,0.3959895665622149,0.2553555325766492,30.318675282133086
iv_k1,6463,-0.028663246948862464,0.021203229934770196,0.3939701352768441,0.1970327517401392,0.18098440038684718,0.016048351353292023,11.250519946804534,1.616470135350918e-28,0.04276977245898971,0.4189066434620247,0.2377591962121255,29.29015843201236
net_credit_diff,6463,-0.05633403214322407,5.854625866164259e-06,0.45092755067084933,1.8265661252900232,0.6823326885880077,1.1442334367020155,5.856663426547744,5.556978527542841e-09,0.020799491584539948,0.33296014179632033,0.3084041408084157,26.982520355425955
delta_k2,6463,-0.055911643457392704,6.874372799842158e-06,0.476166562699613,0.38205793580819797,0.37907638858800774,0.0029815472201902282,6.061125012432244,1.5409519031665848e-09,0.006492851830903534,0.37162394290167444,0.2750131182255203,26.346926224754007
RATIO_BATMAN,6463,0.10055981568847348,5.3502799342201925e-16,0.5143267347912656,41.69312637277648,48.53839185686654,-6.845265484090056,-5.871834142343127,4.626648469983562e-09,0.005749285300631996,0.029146233023888336,0.783689723117701,23.88132619254371
iv_spread_k1_k2,6463,0.12216973524677532,6.418226638595657e-23,0.49694157350769874,0.02891156767208043,0.030981208510638295,-0.0020696408385578666,-5.919499309358214,3.5539923027004556e-09,0.00039286321440286934,0.000200926444349666,0.9819526216178,23.789438381538808
iv_spread_k1_k3,6463,-0.026086964919591567,0.035979856754286096,0.44231780708800994,0.05133374013921114,0.04997065570599613,0.001363084433215006,2.379024060754953,0.017428207108746683,0.025010687406885113,0.6550620141829601,0.0970134462340447,19.64051680589695
SPX,6463,-0.16616435128906407,3.102630823038632e-41,0.5714780973580402,4513.522590873937,4533.7940483559,-20.271457481962898,-0.7898858350259471,0.4296824904314819,-0.031329372291609196,0.12779723438341856,0.5547226642495581,9.122026776827717
delta_k1,6463,-0.018981726935351807,0.12705066331680148,0.5476562535060832,0.6121813588553751,0.6134008752417794,-0.0012195163864043845,-1.4506348547236796,0.14700462106124448,-0.019534902748164815,0.5623813443044859,0.14436023959473657,8.09951539134874
Death valley,6463,-0.13971182685107109,1.5557563807667772e-29,0.5609538640589635,4968.602583139984,4943.622522243713,24.980060896270516,0.9227270875276495,0.3562507476694752,-0.027485400070395724,0.08839492239710023,0.6271029167113268,7.513458591861675
delta_k3,6463,0.006136685987375851,0.6218327734645631,0.5075679787458431,0.06138451662799691,0.06202978646034816,-0.0006452698323512474,-1.862528680617357,0.06264536305471916,0.0038272554015354844,0.19697980521827932,0.45404856077253236,2.456617781637794
